featurePricingId,tierOrder,tierName,fromQuantity,toQuantity,unitPrice,costPrice
8d4277ab-7bc1-4686-9c55-a817260b3913,1,STARTER,1,50.0,100.0,90.0
8d4277ab-7bc1-4686-9c55-a817260b3913,2,GROWTH,51,200.0,175.0,90.0
8d4277ab-7bc1-4686-9c55-a817260b3913,3,SCALE,201,500.0,300.0,90.0
8d4277ab-7bc1-4686-9c55-a817260b3913,4,ENTERPRISE,501,,500.0,90.0
d0892461-1d1c-49e7-ba1d-e421e3a8d333,1,STARTER,1,100.0,799.0,500.0
d0892461-1d1c-49e7-ba1d-e421e3a8d333,2,GROWTH,101,500.0,719.0,500.0
d0892461-1d1c-49e7-ba1d-e421e3a8d333,3,SCALE,501,2000.0,714.0,500.0
d0892461-1d1c-49e7-ba1d-e421e3a8d333,4,ENTERPRISE,2001,,714.0,500.0
7d55ab5e-c877-4557-a693-ac9ff26eaf09,1,STARTER,1,100.0,599.0,350.0
7d55ab5e-c877-4557-a693-ac9ff26eaf09,2,GROWTH,101,500.0,539.0,350.0
7d55ab5e-c877-4557-a693-ac9ff26eaf09,3,SCALE,501,2000.0,500.0,350.0
7d55ab5e-c877-4557-a693-ac9ff26eaf09,4,ENTERPRISE,2001,,500.0,350.0
197c04d4-037f-48af-a8b3-11ef70943e54,1,STARTER,1,100.0,6.0,3.0
197c04d4-037f-48af-a8b3-11ef70943e54,2,GROWTH,101,500.0,5.4,3.0
197c04d4-037f-48af-a8b3-11ef70943e54,3,SCALE,501,2000.0,4.8,3.0
197c04d4-037f-48af-a8b3-11ef70943e54,4,ENTERPRISE,2001,,4.29,3.0
6acdc48a-4c11-4b02-97c7-19cd4e547d87,1,STARTER,1,50.0,100.0,90.0
6acdc48a-4c11-4b02-97c7-19cd4e547d87,2,GROWTH,51,200.0,175.0,90.0
6acdc48a-4c11-4b02-97c7-19cd4e547d87,3,SCALE,201,500.0,300.0,90.0
6acdc48a-4c11-4b02-97c7-19cd4e547d87,4,ENTERPRISE,501,,500.0,90.0
dc838c1c-cd0b-43c0-a211-58838e1aafbd,1,STARTER,1,100.0,249.0,120.0
dc838c1c-cd0b-43c0-a211-58838e1aafbd,2,GROWTH,101,500.0,224.0,120.0
dc838c1c-cd0b-43c0-a211-58838e1aafbd,3,SCALE,501,2000.0,199.0,120.0
dc838c1c-cd0b-43c0-a211-58838e1aafbd,4,ENTERPRISE,2001,,174.0,120.0
eed0f121-f1a8-4dd5-8051-5d05909ec324,1,STARTER,1,100.0,20.0,5.0
eed0f121-f1a8-4dd5-8051-5d05909ec324,2,GROWTH,101,500.0,18.0,5.0
eed0f121-f1a8-4dd5-8051-5d05909ec324,3,SCALE,501,2000.0,16.0,5.0
eed0f121-f1a8-4dd5-8051-5d05909ec324,4,ENTERPRISE,2001,,14.0,5.0
6922c781-ad03-4575-ba87-36d16b40bb72,1,STARTER,1,50.0,99.0,5.0
6922c781-ad03-4575-ba87-36d16b40bb72,2,GROWTH,51,200.0,173.0,5.0
6922c781-ad03-4575-ba87-36d16b40bb72,3,SCALE,201,500.0,297.0,5.0
6922c781-ad03-4575-ba87-36d16b40bb72,4,ENTERPRISE,501,,495.0,5.0
0ecba79d-52c5-4634-be5e-f699120e52d9,1,STARTER,1,50.0,100.0,90.0
0ecba79d-52c5-4634-be5e-f699120e52d9,2,GROWTH,51,200.0,175.0,90.0
0ecba79d-52c5-4634-be5e-f699120e52d9,3,SCALE,201,500.0,300.0,90.0
0ecba79d-52c5-4634-be5e-f699120e52d9,4,ENTERPRISE,501,,500.0,90.0
